ID,NAME,CPU,MEM
1554251639,4728e0375b9b,peer0.org1.samtest.com,7.18%,33.39MiB
1554251639,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251639,4b983eea8f32,orderer.samtest.com,0.64%,11.14MiB
1554251641,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.723MiB
1554251641,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251641,0ef2f3a07fa0,peer1.org1.samtest.com,1.18%,29.07MiB
1554251641,4728e0375b9b,peer0.org1.samtest.com,1.17%,33.39MiB
1554251641,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251641,4b983eea8f32,orderer.samtest.com,0.02%,11.14MiB
1554251643,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.723MiB
1554251643,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251643,0ef2f3a07fa0,peer1.org1.samtest.com,1.20%,29.07MiB
1554251643,4728e0375b9b,peer0.org1.samtest.com,1.22%,33.39MiB
1554251643,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251643,4b983eea8f32,orderer.samtest.com,0.01%,11.14MiB
1554251645,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,1.17%,5.727MiB
1554251645,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,1.16%,5.719MiB
1554251645,0ef2f3a07fa0,peer1.org1.samtest.com,7.95%,29.13MiB
1554251645,4728e0375b9b,peer0.org1.samtest.com,8.41%,33.45MiB
1554251645,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251645,4b983eea8f32,orderer.samtest.com,0.64%,11.14MiB
1554251647,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.727MiB
1554251647,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251647,0ef2f3a07fa0,peer1.org1.samtest.com,1.21%,29.13MiB
1554251647,4728e0375b9b,peer0.org1.samtest.com,1.22%,33.45MiB
1554251647,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251647,4b983eea8f32,orderer.samtest.com,0.01%,11.14MiB
1554251649,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.727MiB
1554251649,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251649,0ef2f3a07fa0,peer1.org1.samtest.com,1.48%,29.14MiB
1554251649,4728e0375b9b,peer0.org1.samtest.com,1.44%,33.45MiB
1554251649,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251649,4b983eea8f32,orderer.samtest.com,0.00%,11.14MiB
1554251651,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,1.47%,5.73MiB
1554251651,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,1.53%,5.719MiB
1554251651,0ef2f3a07fa0,peer1.org1.samtest.com,10.77%,29.4MiB
1554251651,4728e0375b9b,peer0.org1.samtest.com,10.55%,34MiB
1554251651,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251651,4b983eea8f32,orderer.samtest.com,0.68%,11.17MiB
1554251653,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251653,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251653,0ef2f3a07fa0,peer1.org1.samtest.com,1.15%,29.4MiB
1554251653,4728e0375b9b,peer0.org1.samtest.com,1.15%,34.02MiB
1554251653,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251653,4b983eea8f32,orderer.samtest.com,0.00%,11.17MiB
1554251655,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251655,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251655,0ef2f3a07fa0,peer1.org1.samtest.com,1.30%,29.4MiB
1554251655,4728e0375b9b,peer0.org1.samtest.com,1.35%,34.19MiB
1554251655,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251655,4b983eea8f32,orderer.samtest.com,0.01%,11.17MiB
1554251657,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.66%,5.73MiB
1554251657,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.64%,5.719MiB
1554251657,0ef2f3a07fa0,peer1.org1.samtest.com,4.33%,29.46MiB
1554251657,4728e0375b9b,peer0.org1.samtest.com,4.98%,34.24MiB
1554251657,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251657,4b983eea8f32,orderer.samtest.com,0.69%,11.17MiB
1554251659,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251659,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251659,0ef2f3a07fa0,peer1.org1.samtest.com,1.56%,29.46MiB
1554251659,4728e0375b9b,peer0.org1.samtest.com,1.62%,34.24MiB
1554251659,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251659,4b983eea8f32,orderer.samtest.com,0.00%,11.17MiB
1554251661,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251661,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.719MiB
1554251661,0ef2f3a07fa0,peer1.org1.samtest.com,1.29%,29.46MiB
1554251661,4728e0375b9b,peer0.org1.samtest.com,1.30%,34.24MiB
1554251661,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251661,4b983eea8f32,orderer.samtest.com,0.00%,11.17MiB
1554251663,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.72%,5.734MiB
1554251663,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.67%,5.723MiB
1554251663,0ef2f3a07fa0,peer1.org1.samtest.com,4.87%,29.5MiB
1554251663,4728e0375b9b,peer0.org1.samtest.com,5.01%,34.3MiB
1554251663,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251663,4b983eea8f32,orderer.samtest.com,0.59%,11.18MiB
1554251665,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.734MiB
1554251665,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.723MiB
1554251665,0ef2f3a07fa0,peer1.org1.samtest.com,1.03%,29.5MiB
1554251665,4728e0375b9b,peer0.org1.samtest.com,0.98%,34.3MiB
1554251665,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251665,4b983eea8f32,orderer.samtest.com,0.01%,11.18MiB
1554251667,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.734MiB
1554251667,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.723MiB
1554251667,0ef2f3a07fa0,peer1.org1.samtest.com,1.17%,29.5MiB
1554251667,4728e0375b9b,peer0.org1.samtest.com,1.14%,34.3MiB
1554251667,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251667,4b983eea8f32,orderer.samtest.com,0.00%,11.18MiB
1554251669,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.78%,5.742MiB
1554251669,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.58%,5.73MiB
1554251669,0ef2f3a07fa0,peer1.org1.samtest.com,3.46%,29.55MiB
1554251669,4728e0375b9b,peer0.org1.samtest.com,3.43%,34.35MiB
1554251669,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251669,4b983eea8f32,orderer.samtest.com,0.69%,11.18MiB
1554251671,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.742MiB
1554251671,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251671,0ef2f3a07fa0,peer1.org1.samtest.com,1.11%,29.55MiB
1554251671,4728e0375b9b,peer0.org1.samtest.com,1.20%,34.35MiB
1554251671,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251671,4b983eea8f32,orderer.samtest.com,0.00%,11.18MiB
1554251673,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.742MiB
1554251673,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.73MiB
1554251673,0ef2f3a07fa0,peer1.org1.samtest.com,0.97%,29.55MiB
1554251673,4728e0375b9b,peer0.org1.samtest.com,0.98%,34.35MiB
1554251673,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251673,4b983eea8f32,orderer.samtest.com,0.00%,11.18MiB
1554251675,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.74%,5.742MiB
1554251675,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.77%,5.734MiB
1554251675,0ef2f3a07fa0,peer1.org1.samtest.com,4.11%,30.57MiB
1554251675,4728e0375b9b,peer0.org1.samtest.com,4.17%,35.93MiB
1554251675,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251675,4b983eea8f32,orderer.samtest.com,1.05%,11.18MiB
1554251678,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.742MiB
1554251678,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.734MiB
1554251678,0ef2f3a07fa0,peer1.org1.samtest.com,0.94%,30.57MiB
1554251678,4728e0375b9b,peer0.org1.samtest.com,0.97%,35.93MiB
1554251678,9133afb5e401,ca.org1.samtest.com,0.00%,4.703MiB
1554251678,4b983eea8f32,orderer.samtest.com,0.00%,11.18MiB
1554251680,a754423cab67,samtest-peer0.org1.samtest.com-samtest-service-3.24,0.00%,5.742MiB
1554251680,1e2b68b07be5,samtest-peer1.org1.samtest.com-samtest-service-3.24,0.00%,5.734MiB
1554251680,0ef2f3a07fa0,peer1.org1.samtest.com,1.46%,30.57MiB
1554251680,4728e0375b9b,peer0.org1.samtest.com,1.45%,35.94MiB
